id,brand,base_model,model_mode,year,condition,mileage_km,has_aftermarket_mods,body_type,seats,doors,drivetrain,origin,exterior_color,city,seller_name,post_date,website,price_vnd
2498,VinFast,VF5,VF5 Plus,2025.0,Used,25000.0,True,SUV,5.0,5.0,AWD - 4 bánh toàn thời gian,Lắp ráp trong nước,Đỏ,Hà Nội,GF Vincom Long Biên,2026-05-19,bonbanh.com,749000000.0
2499,VinFast,VF7,VF7 Plus,2026.0,New,0.0,False,SUV,7.0,5.0,FWD - Dẫn động cầu trước,Lắp ráp trong nước,Trắng,Hồ Chí Minh,Phạm Đình Anh Tuấn,2026-05-19,bonbanh.com,644000000.0
2500,VinFast,VF9,VF9 Plus,2026.0,Used,57302.0,False,SUV,5.0,5.0,AWD - 4 bánh toàn thời gian,Lắp ráp trong nước,Đen,Hà Nội,GF Vincom Long Biên,2026-05-19,bonbanh.com,619000000.0
2501,VinFast,VF3,VF3,2026.0,New,0.0,True,SUV,7.0,5.0,FWD - Dẫn động cầu trước,Lắp ráp trong nước,Đen,Hà Nội,Trần Thị Thanh Thanh,2026-05-18,bonbanh.com,628000000.0
2502,VinFast,Minio Green,Minio Green,2026.0,New,0.0,False,SUV,5.0,5.0,FWD - Dẫn động cầu trước,Lắp ráp trong nước,Trắng,Hải Dương,Phan Quang Vinh,2026-05-18,bonbanh.com,812000000.0
2503,VinFast,VF5,VF5 Plus,2024.0,New,22000.0,True,SUV,5.0,5.0,FWD - Dẫn động cầu trước,Lắp ráp trong nước,Đỏ,Hà Nội,Đào Anh Tùng,2026-05-18,bonbanh.com,455000000.0
2504,VinFast,VF3,VF3,2026.0,New,0.0,False,Hatchback,4.0,3.0,RFD - Dẫn động cầu sau,Lắp ráp trong nước,Xanh,Hà Nội,My Car,2026-05-18,bonbanh.com,259000000.0
2505,VinFast,VF7,VF7,2025.0,Used,0.0,False,Hatchback,4.0,3.0,RFD - Dẫn động cầu sau,Lắp ráp trong nước,Trắng,Hà Nội,My Car,2026-05-18,bonbanh.com,205000000.0
2506,VinFast,VF5,VF5 Plus,2025.0,Used,32000.0,False,Hatchback,4.0,3.0,RFD - Dẫn động cầu sau,Lắp ráp trong nước,Vàng,20 thăng long Đăk Lăk,Nguyễn hà huy Huân,2026-05-18,bonbanh.com,205000000.0
2507,VinFast,VF8,VF8 Plus,2022.0,Used,0.0,False,Hatchback,4.0,3.0,RFD - Dẫn động cầu sau,Lắp ráp trong nước,Trắng,Hà Nội,My Car,2026-05-18,bonbanh.com,212000000.0
2508,VinFast,VF5,VF5 Plus,2025.0,New,0.0,False,Hatchback,4.0,3.0,RFD - Dẫn động cầu sau,Lắp ráp trong nước,Xám,Hà Nội,Đinh Mạnh Khang,2026-05-18,bonbanh.com,260000000.0
2509,VinFast,VF9,VF9,2024.0,Used,80000.0,False,SUV,5.0,5.0,FWD - Dẫn động cầu trước,Lắp ráp trong nước,Xám,Hà Nội,TLT Auto Hà Nội,2026-05-17,bonbanh.com,365000000.0
2510,VinFast,VF8,VF8 Plus,2023.0,Used,68000.0,False,Hatchback,4.0,3.0,RFD - Dẫn động cầu sau,Lắp ráp trong nước,Bạc,Hà Nội,Nguyễn Kim Thịnh,2026-05-17,bonbanh.com,289000000.0
2511,VinFast,VF8,VF8 Plus,2023.0,Used,97000.0,False,SUV,5.0,5.0,AWD - 4 bánh toàn thời gian,Lắp ráp trong nước,Đỏ,Hà Nội,T&Đ Auto,2026-05-16,bonbanh.com,655000000.0
2512,VinFast,VF9,VF9 Plus,2026.0,New,0.0,False,SUV,5.0,5.0,FWD - Dẫn động cầu trước,Lắp ráp trong nước,Trắng,Hà Nội,Lê Đạt,2026-05-16,bonbanh.com,680000000.0
2513,VinFast,VF9,VF9,2025.0,New,0.0,False,SUV,7.0,5.0,AWD - 4 bánh toàn thời gian,Nhập khẩu,Trắng,Hồ Chí Minh,Le Viet Nhat,2026-05-16,bonbanh.com,1550000000.0
2514,VinFast,Limogreen,Limogreen,2026.0,New,0.0,False,Sedan,5.0,4.0,RFD - Dẫn động cầu sau,Nhập khẩu,Trắng,Hà Nội,Mr Thao,2026-05-16,bonbanh.com,1699000000.0
2515,VinFast,VF8,VF8 Plush,2024.0,Used,10000.0,False,Hatchback,4.0,3.0,RFD - Dẫn động cầu sau,Lắp ráp trong nước,Vàng,TP HCM TP HCM,A Cường,2026-05-16,bonbanh.com,215000000.0
2516,VinFast,VF3,VF3,2024.0,Used,80000.0,True,SUV,5.0,5.0,FWD - Dẫn động cầu trước,Lắp ráp trong nước,Xanh,645 Quốc lộ 13. Hiệp Bình Phước. Tp Thủ Đức TP HCM,Tuananh,2026-05-16,bonbanh.com,560000000.0
2517,VinFast,VF5,VF5,2024.0,Used,15000.0,False,SUV,7.0,5.0,AWD - 4 bánh toàn thời gian,Lắp ráp trong nước,Xanh,Hà Nội,Nguyễn Văn Tuấn,2026-05-16,bonbanh.com,1220000000.0
2518,VinFast,VF3,VF3 Plus,2026.0,New,0.0,False,Sedan,5.0,4.0,RFD - Dẫn động cầu sau,Nhập khẩu,Trắng,Hà Nội,Mr Thao,2026-05-16,bonbanh.com,1699000000.0
2519,VinFast,VF3,VF3,2025.0,New,0.0,False,SUV,5.0,5.0,AWD - 4 bánh toàn thời gian,Nhập khẩu,Xanh,Hà Nội,Mr Thao,2026-05-16,bonbanh.com,7999000000.0
2520,VinFast,VF3,VF3,2025.0,New,0.0,True,SUV,5.0,5.0,FWD - Dẫn động cầu trước,Lắp ráp trong nước,Trắng,Bình Dương,Trần Phương Thảo,2026-05-15,bonbanh.com,500000000.0
2521,VinFast,VF8,VF8 Eco,2023.0,New,0.0,False,SUV,5.0,5.0,FWD - Dẫn động cầu trước,Lắp ráp trong nước,Ghi,Bình Dương,Em Trân,2026-05-15,bonbanh.com,500000000.0
2522,VinFast,VF6,VF6 ECO,2026.0,New,0.0,False,SUV,5.0,5.0,FWD - Dẫn động cầu trước,Lắp ráp trong nước,Xám,Hà Nội,Mr Đạt,2026-05-15,bonbanh.com,529000000.0
2523,VinFast,VF6,VF6,2026.0,New,0.0,False,Hatchback,4.0,3.0,RFD - Dẫn động cầu sau,Lắp ráp trong nước,Đen,Hà Nội,Ms Ngọc Hiệp,2026-05-15,bonbanh.com,269000000.0
2524,VinFast,Limo Green,Limo Green,2025.0,Used,30000.0,False,SUV,5.0,5.0,FWD - Dẫn động cầu trước,Lắp ráp trong nước,Đen,Hải Phòng,Phan Phương Vinh,2026-05-15,bonbanh.com,675000000.0
